# Origin_time   longitude latitude depth magnitude event_id
2018-05-12T03:29:57.232000Z -148.4188 56.322 12.0 3.3 01862cwg6j
2018-05-12T05:26:44.086000Z -155.4745 57.6694 2.9 1.9 01862e2n88
2018-05-12T05:46:21.794000Z -155.4251 57.6705 6.1 1.3 01862e6vtv
2018-05-12T08:56:33.501000Z -161.5485 54.3787 25.5 2.2 01862g1cpg
2018-05-12T09:48:43.493000Z -149.3486 56.1997 6.9 3.0 01862gl3ct
2018-05-12T10:04:33.263000Z -157.844 55.1385 24.7 2.2 01862gx2ny
2018-05-12T10:17:02.307000Z -154.0174 57.6735 66.9 1.8 01862gzsl6
2018-05-12T13:59:36.985000Z -155.7006 57.8443 10.9 1.5 01862j165e
2018-05-12T14:07:34.145000Z -161.2304 54.3797 8.4 2.1 01862jbgau
2018-05-12T14:18:32.093000Z -148.6312 56.3909 7.6 2.9 01862jdt0p
