# event_id  longitude latitude depth magnitude fc stress_drop
018bofr9tq -153.2689 55.8961 40.5 3.27 4.800 1.494
0196mi73y5 -153.776 58.6156 83.4 2.78 21.500 24.738
0192ridago -152.4546 57.6806 29.1 2.85 12.400 9.893
01896subbl -160.7574 54.4011 31.4 3.41 4.000 1.999
019azlof76 -155.3716 58.1966 3.2 2.12 12.800 1.430
018fj2pi13 -156.3698 57.7409 128.6 3.04 9.000 3.806
01888f5j1g -152.3863 57.2624 50.2 3.12 10.100 8.008
018ar43k6q -154.2772 56.892 9.7 2.26 25.000 12.775
01879i3dhg -159.6248 54.6765 25.5 2.89 9.200 6.198
0192kx349y -154.5668 57.6604 68.0 2.59 20.800 11.048
