# Event   Net Sta  Chan Origin_time Arrivial_time Phase Travel_time
01862cwg6j CN YUK2 HHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:32.093000Z P 94.861
01862cwg6j AK SWD  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:50.417000Z P 53.185
01862cwg6j AK Q19K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:51.934000Z P 54.702
01862cwg6j AV AU22 BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:54.733000Z P 57.501
01862cwg6j AK CNP  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:47.051000Z P 49.819
01862cwg6j AV AUSB BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:54.884000Z P 57.652
01862cwg6j AK CHI  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:54.944000Z P 57.712
01862cwg6j AK KAI  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:56.151000Z P 58.919
01862cwg6j AK HIN  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:56.278000Z P 59.046
01862cwg6j AK BRSE BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:48.435000Z P 51.203
01862cwg6j AK Q23K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:43.590000Z P 46.358
01862cwg6j AV Q20K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:41.772000Z P 44.54
01862cwg6j AV P19K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:56.857000Z P 59.625
01862cwg6j AK SLK  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:57.324000Z P 60.092
01862cwg6j II KDAK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:35.711000Z P 38.479
01862cwg6j AK O20K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:58.675000Z P 61.443
01862cwg6j AV IVE  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:59.121000Z P 61.889
01862cwg6j AK EYAK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:00.068000Z P 62.836
01862cwg6j AK FID  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:00.509000Z P 63.277
01862cwg6j AK SUCK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:00.540000Z P 63.308
01862cwg6j AK RAG  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:01.107000Z P 63.875
01862cwg6j AV Q17K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:01.420000Z P 64.188
01862cwg6j AK NICH BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:01.617000Z P 64.385
01862cwg6j AK SII  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:42.987000Z P 45.755
01862cwg6j AK GLI  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:01.749000Z P 64.517
01862cwg6j AK HMT  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:01.842000Z P 64.61
01862cwg6j AV RED  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:02.425000Z P 65.193
01862cwg6j AV P18K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:02.830000Z P 65.598
01862cwg6j AV RDT  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:03.129000Z P 65.897
01862cwg6j AK GOAT BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:03.336000Z P 66.104
01862cwg6j AK BGLC BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:03.565000Z P 66.333
01862cwg6j AT OHAK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:37.271000Z P 40.039
01862cwg6j AV RDWB BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:03.657000Z P 66.425
01862cwg6j AV RDDF BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:04.313000Z P 67.081
01862cwg6j AK GRIN BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:04.982000Z P 67.75
01862cwg6j AV NCT  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:04.992000Z P 67.76
01862cwg6j II KDAK BH2 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:05.269000Z S 68.037
01862cwg6j AK SSP  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:05.561000Z P 68.329
01862cwg6j AK KHIT BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:06.508000Z P 69.276
01862cwg6j AK DIV  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:07.584000Z P 70.352
01862cwg6j AT OHAK BHE 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:07.713000Z S 70.481
01862cwg6j AK BMR  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:08.005000Z P 70.773
01862cwg6j AK WAX  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:08.028000Z P 70.796
01862cwg6j AK BARK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:09.505000Z P 72.273
01862cwg6j AK MESA BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:09.861000Z P 72.629
01862cwg6j AK KLU  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:12.215000Z P 74.983
01862cwg6j AK ISLE BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:12.332000Z P 75.1
01862cwg6j AK CHX  SHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:13.280000Z P 76.048
01862cwg6j AK VRDI BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:14.752000Z P 77.52
01862cwg6j AK SAMH BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:15.485000Z P 78.253
01862cwg6j AK KIAG BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:15.768000Z P 78.536
01862cwg6j AK GLB  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:16.105000Z P 78.873
01862cwg6j AV N25K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:16.481000Z P 79.249
01862cwg6j AK SII  BHN 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:16.887000Z S 79.655
01862cwg6j AV Q20K BHE 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:17.134000Z S 79.902
01862cwg6j AK N18K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:18.368000Z P 81.136
01862cwg6j AK PTPK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:18.588000Z P 81.356
01862cwg6j AK PNL  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:19.768000Z P 82.536
01862cwg6j AK BCP  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:20.117000Z P 82.885
01862cwg6j AK CTG  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:20.308000Z P 83.076
01862cwg6j AK BARN BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:20.508000Z P 83.276
01862cwg6j AK LOGN BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:20.577000Z P 83.345
01862cwg6j TA M24K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:20.633000Z P 83.401
01862cwg6j AV WACK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:22.283000Z P 85.051
01862cwg6j TA O28M BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:24.297000Z P 87.065
01862cwg6j AK CNP  BHE 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:25.834000Z S 88.602
01862cwg6j AK HARP BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:26.159000Z P 88.927
01862cwg6j TA M18K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:26.831000Z P 89.599
01862cwg6j AK BRSE BHN 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:27.986000Z S 90.754
01862cwg6j TA P29M BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:28.828000Z P 91.596
01862cwg6j AK P23K BHE 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:29.470000Z S 92.238
01862cwg6j AK P23K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:49.418000Z P 52.186
01862cwg6j TA O15K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:32.376000Z P 95.144
01862cwg6j AK DHY  BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:32.999000Z P 95.767
01862cwg6j TA M17K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:33.576000Z P 96.344
01862cwg6j CN YUK6 HHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:36.297000Z P 99.065
01862cwg6j AK M16K BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:31:38.276000Z P 101.044
01862cwg6j AK BRLK BHZ 2018-05-12T03:29:57.232000Z 2018-05-12T03:30:49.227000Z P 51.995
01862e2n88 AV PLK3 EHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:52.865000Z P 8.779
01862e2n88 AV ACH  BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:55.268000Z P 11.182
01862e2n88 AV KCE  EHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:56.509000Z P 12.423
01862e2n88 AV Q17K BHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:56.951000Z P 12.865
01862e2n88 AV KEL  EHZ 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:59.620000Z P 15.534
01862e2n88 AV PLK3 EHE 2018-05-12T05:26:44.086000Z 2018-05-12T05:26:59.784000Z S 15.698
01862e2n88 AV ANCK BHE 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:02.911000Z S 18.825
01862e2n88 AV ACH  BHE 2018-05-12T05:26:44.086000Z 2018-05-12T05:27:03.093000Z S 19.007
